ID,externalOrderRef,customerRef,customerName,companyCode,distributionCenter,receivedDate,status_code,signalStatus,notes,returnAmount,proposedClearing,createdAt,createdBy,modifiedAt,modifiedBy
a1b2c311-0011-4011-a011-000000000011,SO-2025-00405,DILL-US-0220,Dillard's – Houston Galleria,1000,DC02,2025-02-12,PARTIAL,PENDING,Return slip states 3 wallets — only 2 received; discrepancy flagged by warehouse,245.00,245.00,2025-02-12T11:15:00.000Z,system@tapestry.com,2025-02-12T11:15:00.000Z,system@tapestry.com
a1b2c312-0012-4012-a012-000000000012,SO-2025-00418,NRCK-US-0781,Nordstrom Rack – Canoga Park,1001,DC03,2025-02-18,PARTIAL,PENDING,Two wallets returned — one in acceptable condition; one missing dust bag with exterior scratches,396.00,396.00,2025-02-18T10:00:00.000Z,system@tapestry.com,2025-02-18T10:00:00.000Z,system@tapestry.com
a1b2c313-0013-4013-a013-000000000013,SO-2025-00427,AMZN-LUX-001,Amazon Luxury Stores – Online,1000,DC03,2025-02-21,PARTIAL,PENDING,Wrong item returned — label shows correct order number but contents do not match authorised SKU,295.00,295.00,2025-02-21T14:30:00.000Z,system@tapestry.com,2025-02-21T14:30:00.000Z,system@tapestry.com
a1b2c314-0014-4014-a014-000000000014,SO-2025-00439,MCYS-US-0412,Macy's – State Street Chicago,1001,DC02,2025-02-25,PARTIAL,PENDING,Tote received with broken strap hardware — item condition inconsistent with authorised return,328.00,328.00,2025-02-25T09:00:00.000Z,system@tapestry.com,2025-02-25T09:00:00.000Z,system@tapestry.com
a1b2c315-0015-4015-a015-000000000015,SO-2025-00448,FRTCH-ONLINE,Farfetch – Marketplace Return,1000,DC01,2025-03-03,UNMATCHED,PENDING,Farfetch marketplace order reference provided — no corresponding SAP sales order found in system,495.00,495.00,2025-03-03T10:00:00.000Z,system@tapestry.com,2025-03-03T10:00:00.000Z,system@tapestry.com
a1b2c316-0016-4016-a016-000000000016,NO-REF-20250305,CUST-UNKN-001,Walk-In Return – No Customer Account,1001,DC01,2025-03-05,UNMATCHED,PENDING,Goods arrived without return authorisation or customer documentation,398.00,398.00,2025-03-05T11:30:00.000Z,system@tapestry.com,2025-03-05T11:30:00.000Z,system@tapestry.com
a1b2c317-0017-4017-a017-000000000017,SO-2025-00461,NORD-US-0452,Nordstrom – Beverly Hills,1000,DC03,2025-03-08,UNMATCHED,PENDING,Sales order located but 90-day return window has expired — requires finance exception approval,245.00,245.00,2025-03-08T08:45:00.000Z,system@tapestry.com,2025-03-08T08:45:00.000Z,system@tapestry.com
a1b2c318-0018-4018-a018-000000000018,SO-2025-00472,BLMD-US-0601,Bloomingdale's – 59th Street NYC,1001,DC01,2025-03-11,UNMATCHED,PENDING,Customer states store credit was already issued — no open return order found in system,359.00,359.00,2025-03-11T10:00:00.000Z,system@tapestry.com,2025-03-11T10:00:00.000Z,system@tapestry.com
a1b2c319-0019-4019-a019-000000000019,SO-2025-00485,SAKF-US-0100,Saks Fifth Avenue – New York,1000,DC01,2025-03-14,UNMATCHED,FAILED,Return routed to wrong distribution centre — original order belongs to EMEA region (DC04),350.00,350.00,2025-03-14T09:15:00.000Z,system@tapestry.com,2025-03-14T09:15:00.000Z,system@tapestry.com
a1b2c320-0020-4020-a020-000000000020,SO-2025-00496,DILL-US-0220,Dillard's – Houston Galleria,1001,DC02,2025-03-18,UNMATCHED,PENDING,Duplicate return shipment — first return for this order already processed and credited under RMA-2025-0044,198.00,198.00,2025-03-18T14:00:00.000Z,system@tapestry.com,2025-03-18T14:00:00.000Z,system@tapestry.com
